movieCd,movieNm,openDt,audiAcc,targetDt
20197803,겨울왕국 2,2019-11-21,4437803,20191119
20195002,블랙머니,2019-11-13,1817411,20191119
20181434,신의 한 수: 귀수편,2019-11-07,2085194,20191119
20191029,82년생 김지영,2019-10-23,3619373,20191119
20192083,터미네이터: 다크 페이트,2019-10-30,2383137,20191119
20197721,엔젤 해즈 폴른,2019-11-13,175000,20191119
20190280,날씨의 아이,2019-10-30,642429,20191119
20198421,좀비랜드: 더블 탭,2019-11-13,134025,20191119
20196284,윤희에게,2019-11-14,63686,20191119
20184341,얼굴없는 보스,2019-11-21,16355,20191119
20197279,아담스 패밀리,2019-11-07,319305,20191112
20199950,조커,2019-10-02,5239867,20191112
20191589,말레피센트 2,2019-10-17,1432023,20191105
20193801,닥터 슬립,2019-11-07,46343,20191105
20195920,가장 보통의 연애,2019-10-02,2918537,20191105
20192589,빅 위시,2019-10-30,28884,20191029
20196136,람보 : 라스트 워,2019-10-23,92238,20191029
20198184,빅 2: 황금열쇠 대소동,2019-10-30,11152,20191029
20184483,퍼펙트맨,2019-10-02,1224921,20191022
20185361,두번할까요,2019-10-17,169448,20191022
20197054,빅트립: 아기팬더 배달 대모험,2019-10-23,32728,20191022
20198961,더 킹: 헨리 5세,2019-10-23,10727,20191022
20191183,제미니 맨,2019-10-09,375620,20191015
20194223,너를 만난 여름,2019-10-16,19205,20191015
20193601,장사리 : 잊혀진 영웅들,2019-09-25,1125480,20191015
20183407,버티고,2019-10-16,11161,20191015
20196380,몬스터 하우스,2019-10-03,58604,20191008
20195941,소피와 드래곤: 마법책의 비밀,2019-10-02,90886,20191008
20197691,잃어버린 세계를 찾아서,2019-10-09,17510,20191008
20184243,판소리 복서,2019-10-09,16827,20191008
20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,270172,20191008
20194456,양자물리학,2019-09-25,542651,20191001
20188750,나쁜 녀석들: 더 무비,2019-09-11,4556694,20191001
20192982,애드 아스트라,2019-09-19,508767,20191001
20184572,타짜: 원 아이드 잭,2019-09-11,2212819,20190924
20193807,예스터데이,2019-09-18,292246,20190924
20187322,"힘을 내요, 미스터 리",2019-09-11,1166190,20190924
20195968,더 룸,2019-09-25,44682,20190924
20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,558571,20190917
20192804,그것: 두 번째 이야기,2019-09-04,584467,20190917
20184621,엑시트,2019-07-31,9407843,20190917
20181103,벌새,2019-08-29,93366,20190917
20181416,유열의 음악앨범,2019-08-28,1225554,20190910
20194045,극장판 반지의 비밀일기,2019-09-11,56299,20190910
20196850,분노의 질주: 홉스&쇼,2019-08-14,3649860,20190910
20184543,변신,2019-08-21,1797796,20190910
20193665,47미터 2,2019-08-28,440356,20190903
20184462,봉오동 전투,2019-08-07,4767092,20190903
20194541,안녕 베일리,2019-09-05,39817,20190903
20185985,광대들: 풍문조작단,2019-08-21,632384,20190903
20194384,안나,2019-08-28,73250,20190827
20171021,커런트 워,2019-08-22,194259,20190827
20198323,레드슈즈,2019-07-25,786502,20190827
20182241,"안녕, 티라노: 영원히, 함께",2019-08-14,189725,20190820
