movieCode,title,year,release_date,description,genre,director,grade,actors,poster_path,backdrop_path,youtube_url,rate
20197803,겨울왕국 2,2019,2019-11-20,"어느 날 부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다. 트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아 크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다. 자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…",12,크리스 벅,전체관람가,"['크리스틴 벨', '이디나 멘젤', '조시 게드', '조나단 그로프']",https://image.tmdb.org/t/p/w780//8S2AFd8DF539pxdn7TCIDqXlwRA.jpg,https://image.tmdb.org/t/p/original//xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,https://www.youtube.com/embed/3WUw9thZR4k,8.68
20195002,블랙머니,2019,2019-11-13,"일명 서울지검 ‘막프로’! 검찰 내에서 거침없이 막 나가는 문제적 검사로 이름을 날리는 ‘양민혁’은 자신이 조사를 담당한 피의자가 자살하는 사건으로 인해 하루 아침에 벼랑 끝에 내몰린다. 억울한 누명을 벗기 위해 내막을 파헤치던 그는 피의자가 대한은행 헐값 매각사건의 중요 증인이었음을 알게 된다. 근거는 의문의 팩스 5장! 자산가치 70조 은행이 1조 7천억원에 넘어간 희대의 사건 앞에서 ‘양민혁’ 검사는 금융감독원, 대형 로펌, 해외펀드 회사가 뒤얽힌 거대한 금융 비리의 실체와 마주하게 되는데…",13,정지영,12세이상관람가,"['조진웅', '이하늬', '이경영', '강신일', '최덕문', '조한철', '허성태', '강도연', '정인기', '윤진영']",https://image.tmdb.org/t/p/w780//y4gCnKpDSvkDXzdN45WCIK52tgJ.jpg,https://image.tmdb.org/t/p/original//bwghN0FilQ73W3mA7AgiqjZ8FVY.jpg,https://www.youtube.com/embed/cfJpcDAyzqE,8.55
20181434,신의 한 수: 귀수편,2019,2019-11-07,바둑으로 모든 것을 잃은 아이 ‘귀수’ 유일하게 기대던 스승 허일도(김성균)마저 잃고 홀로 살아남아 세상을 향한 복수를 계획한다. 운명의 선택은 神의 놀음판에 있다! 자신을 사지로 내몬 냉혹한 내기바둑판으로 뛰어든 귀수(권상우)는 전국을 돌아다니며 귀신 같이 바둑을 두는 자들과 대결을 펼치는데…  사활을 건 대결! 신의 한 수를 다시 두시겠습니까?,13,리건,15세이상관람가,"['권상우', '김희원', '김성균', '허성태', '우도환', '원현준', '홍기준', '박상훈', '이서환']",https://image.tmdb.org/t/p/w780//205K07RJ2e7cscv794tGPRTU8uR.jpg,https://image.tmdb.org/t/p/original//2z1JWJ4P4PuBHITxwvzVBE1DmCQ.jpg,https://www.youtube.com/embed/L-MGk91Vf8k,8.03
20191029,82년생 김지영,2019,2019-10-23,"1982년 봄에 태어나 누군가의 딸이자 아내, 동료이자 엄마로 2019년 오늘을 살아가는 ‘지영’(정유미). 때론 어딘가 갇힌 듯 답답하기도 하지만 남편 ‘대현’(공유)과 사랑스러운 딸, 그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다. 하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’. ‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고 ‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…",3,김도영,12세이상관람가,"['정유미', '공유', '김미경', '공민정', '박성연', '이봉련', '김성철', '이얼', '전국향', '박세현', '김미경', '손성찬', '강애심', '김정영', '예수정', '염혜란', '김해나', '어성욱']",https://image.tmdb.org/t/p/w780//vHfoYyOgDz1cHpAcky9uNHCPlAt.jpg,https://image.tmdb.org/t/p/original//gBF3mCeA9ThhFyJBsmzm4XJ1yTR.jpg,https://www.youtube.com/embed/Gz0ZeY1U4vY,6.69
20192083,터미네이터: 다크 페이트,2019,2019-10-23,"심판의 날 그 후, 뒤바뀐 미래. 새로운 인류의 희망 ‘대니’를 지키기 위해 슈퍼 솔져 ‘그레이스’가 미래에서 찾아오고, ‘대니’를 제거하기 위한 터미네이터 ‘Rev-9’의 추격이 시작된다.  최첨단 기술력으로 무장한 최강의 적 터미네이터 ‘Rev-9’의 무차별적인 공격에 쫓기기 시작하던 ‘그레이스’와 ‘대니’ 앞에 터미네이터 헌터 ‘사라 코너’가 나타나 도움을 준다. 인류의 수호자이자 기계로 강화된 슈퍼 솔져 ‘그레이스’와 ‘사라 코너’는 ‘대니’를 지키기 위해 새로운 조력자를 찾아 나서고, 터미네이터 ‘Rev-9’은 그들의 뒤를 끈질기게 추격하는데...",8,팀 밀러,15세이상관람가,"['맥켄지 데이비스', '아놀드 슈왈제네거', '린다 해밀턴', '나탈리아 레이즈', '가브리엘 루나']",https://image.tmdb.org/t/p/w780//nIoDNiWWOtCFdJRi89aFI98cdj0.jpg,https://image.tmdb.org/t/p/original//riTANvQ8GKmQbgtC1ps3OfkU43A.jpg,https://www.youtube.com/embed/eE4GPPnG1Mw,8.62
20197721,엔젤 해즈 폴른,2019,2019-08-21,"비밀 경호국 최고 요원 ‘배닝’(제라드 버틀러)의 엄호 중 '트럼불' 대통령(모건 프리먼)을 향한 초대형 규모의 드론 테러가 발생한다. 가까스로 대통령을 구하고 유일하게 살아남은 '배닝'은 완벽히 조작된 음모에 의해 대통령 암살사건의 테러범으로 지목되고, 국가 영웅은 한순간에 일급 수배자가 되어 FBI에게 쫓기게 되는데...",8,릭 로먼 워,15세이상관람가,"['제라드 버틀러', '모건 프리먼', '대니 휴스턴', '프레드릭 슈미트', '로시 윌리엄스', '파이퍼 페라보']",https://image.tmdb.org/t/p/w780//fxMT7ex1n89UJIPWEO8wtLVbFfw.jpg,https://image.tmdb.org/t/p/original//k2WyDw2NTUIWnuEs5gT7wgrCQg6.jpg,https://www.youtube.com/embed/ZcQ1lini5Rw,8.63
20190280,날씨의 아이,2019,2019-07-19,"고등학교 1학년 여름. 외딴 섬에서 가출해, 도쿄에 온 호타카. 그러나 생활은 곧 곤란해졌고, 고독한 나날의 끝에 겨우 찾아낸 일은, 수상한 오컬트 잡지의 작가 일이었다. 그의 앞날을 시사하는 듯, 연일 쏟아지는 비. 그런 가운데, 잡담으로 북적거리는 도시 한 편에서, 호타카는 한 소녀를 만난다. 어떤 사연을 안고, 남동생과 둘이서 밝고 씩씩하게 사는 소녀, 하루나. 그녀에게는, 이상한 능력이 있었다.  ""저기, 지금부터 맑아질 거야."" 조금씩 비가 그치고, 아름답게 빛나는 거리. 그것은 기도하는 것만으로, 하늘을 맑게 하는 힘이었다.",12,신카이 마코토,15세이상관람가,"['다이고 코타로', '모리 나나', '오구리 슌']",https://image.tmdb.org/t/p/w780//5lcJpPcvSJwKMHYHiSKPQCqO9DF.jpg,https://image.tmdb.org/t/p/original//ize3ZieqSy0TCWljmVoEiy8fSFS.jpg,https://www.youtube.com/embed/BvlNBtWnhLY,7.86
20198421,좀비랜드: 더블 탭,2019,2019-10-09,"좀비로 세상이 망한지 10년, 자신들만의 재능을 발휘하고 생존 규칙을 지키며 여전히 꿋꿋하게 살아가고 있는 희한한 가족 탤러해시, 콜럼버스, 위치타, 리틀록. 하지만 ‘좀비랜드’에 더욱 진화한 좀비가 나타나고 이들은 새로운 인간 생존자들과 함께 사투를 시작하는데…",8,루벤 플레셔,15세이상관람가,"['우디 해럴슨', '제시 아이젠버그', '아비게일 브레스린', '엠마 스톤']",https://image.tmdb.org/t/p/w780//1ok4v9dbalAS1AQaplFxbFmC9kb.jpg,https://image.tmdb.org/t/p/original//jCCdt0e8Xe9ttvevD4S3TSMNdH.jpg,https://www.youtube.com/embed/uPMOTPB9vTY,8.13
20196284,윤희에게,2019,2019-11-14,"갓 수능을 마친 고등학교 3학년 ‘새봄’은 우편함에서 수상한 편지를 발견한다. 일본 북해도의 어느 마을에서 엄마를 향해 날아든, 절절한 연애 편지. 엄마는 도대체 어떤 사람일까. 3년 전에 엄마와 이혼한 아빠도, 하나뿐인 삼촌도 엄마에 대해 잘 모르는 눈치다. 늘 피로에 찌들어 있고 무기력해 보이는 엄마가 답답했던 새봄은 무작정 엄마에게 같이 여행을 가자고 조른다. 엄마와 함께 편지의 발신지로 가서 엄마의 첫사랑을 만나볼 계획이다. 가서, 진짜 엄마를 만나고 올 것이다. 한편, 공장의 구내 식당에서 일하며 하루하루를 근근이 버텨나가고 있는 새봄의 엄마 ‘윤희’ 역시 뒤늦게 편지를 확인한다. 설상가상으로 느닷없이 여행을 가자는 딸의 의문스러운 성화까지 보태지자 그렇지 않아도 위태롭던 윤희의 일상은 무너져 버린다. 고심 끝에, 윤희는 결국 딸을 데리고 편지의 발신지를 향해 떠나기로 결심한다. 더 이상 운명을 피하지 않을 것이다.",4,임대형,12세이상관람가,"['김희애', '김소혜', '성유빈', '나카무라 유코', '유재명', '김학선']",https://image.tmdb.org/t/p/w780//xQexUGD06ZxFMJo9uBwqSOa9CHY.jpg,https://image.tmdb.org/t/p/original//raVnVsmdBz5Y42nqPrpR8mm1qk5.jpg,https://www.youtube.com/embed/YKV_zjAxe2E,9.17
20184341,얼굴없는 보스,2019,2019-11-21,"건달이 되면 멋진 남자로서 폼 나는 삶을 살 수 있을 거란 일념으로, 배신한 선배를 물러나게 하고 마침내 보스의 자리까지 오른 ‘상곤’. 하지만 그 일로 선배를 제낀 후배라는 오명을 쓰게 된다. 형제보다 사랑하는 동생들과 의리를 맹세하고 목숨보다 사랑하는 그녀와 행복까지 꿈꾸지만 매일매일 피바람이 불어대는 지옥과 같은 이 곳에는 건달들의 낭만 따위는 사치처럼 보이는데… 건달들이 개입된 음모와 얽히고설킨 배신 속, 가족과 동생들까지 점점 더 모든 것을 잃을 위기에 처하는 ‘상곤’. 그가 마지막까지 지키고자 했던 것은 무엇이었을까?",8,송창용,15세이상관람가,"['천정명', '진이한', '이하율', '곽희성', '이시아', '이호정', '김도훈', '김영재', '최규환', '이지훈', '이무생', '이호정', '김강일']",https://image.tmdb.org/t/p/w780//2rW0sgfExI63A3CEXMZ1hXlmyxC.jpg,https://image.tmdb.org/t/p/original//jwWRY5lxFxDqhQA3KDaLQgsak8v.jpg,,4.72
